sim_index,strategy,total_time_s,pit_stop_count,sc_laps
0,A,6152.66936919229,2,39
1,A,6136.27362336783,2,45
2,A,6149.785912270992,2,42
3,A,6142.034746283087,2,51
4,A,6139.1607774419035,2,36
5,A,6138.268236843787,2,44
6,A,6142.301689408996,2,47
7,A,6136.573073905056,2,48
8,A,6138.231896684308,2,38
9,A,6133.39388643366,2,41
10,A,6167.756650741423,2,29
11,A,6142.393142660786,2,42
12,A,6136.124823172068,2,45
13,A,6141.813965997584,2,49
14,A,6140.716093916393,2,48
15,A,6142.808219786255,2,42
16,A,6139.911110099561,2,45
17,A,6148.748865039274,2,48
18,A,6142.982280318784,2,53
19,A,6153.718512828274,2,36
20,A,6142.463003040439,2,51
21,A,6154.958294406887,2,49
22,A,6130.920674497436,2,45
23,A,6141.1723859919075,2,51
24,A,6138.39984721041,2,44
25,A,6144.088366160444,2,55
26,A,6140.285692488465,2,44
27,A,6134.464033837169,2,47
28,A,6151.483451834405,2,40
29,A,6138.644803672711,2,45
30,A,6148.843850613138,2,48
31,A,6136.122901313035,2,45
32,A,6138.1958016168055,2,48
33,A,6132.686326306642,2,42
34,A,6147.497291583892,2,36
35,A,6149.295451813447,2,39
36,A,6144.328034679051,2,43
37,A,6149.607384489021,2,42
38,A,6133.797191331826,2,45
39,A,6139.66863368233,2,45
40,A,6142.902121790674,2,42
41,A,6151.747013960535,2,56
42,A,6194.553321258172,2,22
43,A,6134.885997266981,2,45
44,A,6148.861588529697,2,39
45,A,6172.175763834022,2,30
46,A,6136.240336415449,2,45
47,A,6149.476925427016,2,40
48,A,6140.466332989948,2,45
49,A,6148.062732769298,2,39
50,A,6139.51244802196,2,42
51,A,6146.357757231507,2,42
52,A,6142.137410282959,2,54
53,A,6139.409016294866,2,38
54,A,6135.009800857859,2,42
55,A,6139.229890707486,2,44
56,A,6133.298181423624,2,48
57,A,6131.916483785773,2,42
58,A,6133.409127834106,2,42
59,A,6155.840334423653,2,33
60,A,6144.149024909632,2,48
61,A,6131.1780183745,2,45
62,A,6131.710313296778,2,48
63,A,6148.436284893955,2,56
64,A,6146.197289432403,2,34
65,A,6147.393209774841,2,44
66,A,6142.827031870083,2,49
67,A,6184.983790060611,2,34
68,A,6156.039678493199,2,39
69,A,6137.7290590331795,2,45
70,A,6146.407923463362,2,42
71,A,6137.579652823212,2,48
72,A,6147.078089259012,2,47
73,A,6152.092277976866,2,34
74,A,6144.866919678187,2,42
75,A,6151.945455213723,2,37
76,A,6151.265619663547,2,42
77,A,6138.653765404024,2,51
78,A,6160.983538843692,2,60
79,A,6154.937094052571,2,39
80,A,6146.845761551375,2,41
81,A,6140.729055758584,2,49
82,A,6155.590554962219,2,33
83,A,6157.4145174849455,2,45
84,A,6142.907530273513,2,43
85,A,6137.516533247152,2,42
86,A,6147.5073969953,2,39
87,A,6152.217085279067,2,32
88,A,6140.191730054833,2,39
89,A,6143.47995159477,2,39
90,A,6137.883930545313,2,45
91,A,6134.901024851395,2,42
92,A,6139.671365136434,2,45
93,A,6147.296311982925,2,36
94,A,6132.9013790597555,2,45
95,A,6144.857990930062,2,48
96,A,6137.907688785044,2,43
97,A,6132.808598262287,2,46
98,A,6143.068039304655,2,51
99,A,6135.619638784092,2,47
100,A,6153.036038271492,2,44
101,A,6132.750392500225,2,45
102,A,6155.85902395997,2,36
103,A,6156.495691951322,2,46
104,A,6138.986311945172,2,45
105,A,6136.06164906998,2,48
106,A,6154.49667690081,2,32
107,A,6139.77347336058,2,43
108,A,6136.7513461254,2,43
109,A,6150.4756094243685,2,39
110,A,6139.45541948586,2,36
111,A,6153.178899498829,2,33
112,A,6149.3381956390385,2,48
113,A,6145.061073673027,2,39
114,A,6135.419524884729,2,48
115,A,6137.103618301503,2,42
116,A,6136.403856794596,2,48
117,A,6146.5536249907,2,42
118,A,6143.306208011353,2,48
119,A,6132.424084192084,2,43
120,A,6142.812169699742,2,55
121,A,6132.488678247254,2,45
122,A,6139.136189578962,2,48
123,A,6151.710119691599,2,42
124,A,6144.059976595507,2,42
125,A,6146.718608221894,2,36
126,A,6133.352159009856,2,45
127,A,6131.719501582351,2,39
128,A,6136.780051103078,2,47
